id,name,area_id,subarea_code
241,五島,42,NGS_GOTO
242,壱岐,42,NGS_IKI
243,対馬,42,NGS_TSUSHIMA
244,熊本,43,KMM_KUMAMOTO
245,宇城,43,KMM_UKI
246,有明,43,KMM_ARIAKE
247,菊池,43,KMM_KIKUCHI
248,阿蘇,43,KMM_ASO
249,上益城,43,KMM_KAMIMASHIKI
250,八代,43,KMM_YATSUSHIRO
251,芦北,43,KMM_ASHIKITA
252,球磨,43,KMM_KUMA
253,天草,43,KMM_AMAKUSA
254,東部,44,OIT_TOUBU
255,中部,44,OIT_CHUBU
256,南部,44,OIT_NANBU
  257,豊肥,44,OIT_HOUHI
258,西部,44,OIT_SEIBU
259,北部,44,OIT_HOKUBU
260,宮崎東諸県,45,MYZ_MIYAZAKI_HIGASHIMOROKATA
261,西都児湯,45,MYZ_SAITOKOYU
262,西諸,45,MYZ_NISHIMORO
263,北諸県,45,MYZ_KITAMOROKATA
264,日南串間,45,MYZ_NICHINANKUSHIMA
265,都城北諸県,45,MYZ_MIYAKONOJOUKITAMOROKATA
266,西臼杵,45,MYZ_NISHIUSUKI
267,鹿児島,46,KGS_KAGOSHIMA
268,南薩,46,KGS_NANSATSU
269,北薩,46,KGS_HOKUSATSU
270,姶良・伊佐,46,KGS_AIRA_ISA
271,大隅,46,KGS_OOSUMI
272,熊毛,46,KGS_KUMAGE
273,奄美,46,KGS_AMAMI
274,北部,47,OKN_HOKUBU
275,中部,47,OKN_CHUBU
276,南部,47,OKN_NANBU
277,宮古,47,OKN_MIYAKO
278,八重山,47,OKN_YAEYAMA
